Code,Name,Country,Exchange,Currency,Type,Isin
AEDAUD,AEDAUD,Unknown,FOREX,NA,Currency,
AEDCAD,AEDCAD,Unknown,FOREX,NA,Currency,
AEDCHF,AEDCHF,Unknown,FOREX,NA,Currency,
AEDEUR,"UAE Dirham/Euro FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDGBP,AEDGBP,Unknown,FOREX,NA,Currency,
AEDINR,"UAE Dirham/Indian Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDJPY,"UAE Dirham/Japanese Yen FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDNOK,"UAE Dirham/Norwegian Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDNZD,AEDNZD,Unknown,FOREX,NA,Currency,
AEDPKR,"UAE Dirham/Pakistani Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDSAR,"UAE Dirham/Saudi Arabian Riyal FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDSEK,"UAE Dirham/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
AEDUSD,"UAE Dirham/US Dollar FX Spot Rate",Unknown,FOREX,NA,Currency,
AEDZAR,"UAE Dirham/South African Rand FX Cross Rate",Unknown,FOREX,NA,Currency,
ANG,ANG,Unknown,FOREX,NA,Currency,
ARS,USDARS,Unknown,FOREX,NA,Currency,
ARSBRL,"Argentine Peso/Brazilian Real FX Cross Rate",Unknown,FOREX,NA,Currency,
ARSEUR,ARSEUR,Unknown,FOREX,NA,Currency,
ARSGBP,"Argentine Peso/UK Pound Sterling FX Cross Rate",Unknown,FOREX,NA,Currency,
ARSJPY,"Argentine Peso/Japanese Yen FX Cross Rate",Unknown,FOREX,NA,Currency,
ARSUSD,"Argentine Peso/US Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUD,"US Dollar/Australian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDAED,"Australian Dollar/UAE Dirham FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDARS,"Australian Dollar/Argentine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDBRL,"Australian Dollar/Brazilian Real FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDCAD,"Australian Dollar/Canadian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDCHF,"Australian Dollar/Swiss Franc FX Cross Rate",Unknown,FOREX,CHF,Currency,
AUDCNH,AUDCNH,Unknown,FOREX,NA,Currency,
AUDCNY,AUDCNY,Unknown,FOREX,NA,Currency,
AUDCZK,"Australian Dollar/Czech Koruna FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDDKK,"Australian Dollar/Danish Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDEUR,"Australian Dollar/Euro FX Cross Rate",Unknown,FOREX,EUR,Currency,
AUDFJD,"Australian Dollar/Fiji Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDGBP,"Australian Dollar/UK Pound Sterling FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDHKD,"Australian Dollar/Hong Kong Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDHUF,"Australian Dollar/Hungarian Forint FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDIDR,"Australian Dollar/Indonesian Rupiah FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDILS,"Australian Dollar/Israeli Shekel FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDINR,"Australian Dollar/Indian Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDJPY,"Australian Dollar/Japanese Yen FX Cross Rate",Unknown,FOREX,JPY,Currency,
AUDKRW,"Australian Dollar/Korean Won FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDMXN,"Australian Dollar/Mexican Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDMYR,"Australian Dollar/Malaysian Ringgit FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDNOK,"Australian Dollar/Norwegian Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDNZD,"Australian Dollar/New Zealand Dollar FX Cross Rate",Unknown,FOREX,NZD,Currency,
AUDPHP,"Australian Dollar/Philippine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDPKR,"Australian Dollar/Pakistani Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDPLN,"Australian Dollar/Polish Zloty FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDSEK,"Australian Dollar/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDSGD,"Australian Dollar/Singapore Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDTHB,"Australian Dollar/Thai Baht FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDTRY,"Australian Dollar/Turkish Lira FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDTWD,"Australian Dollar/Taiwan Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
AUDUSD,"Australian Dollar/US Dollar FX Spot Rate",Unknown,FOREX,NA,Currency,
AUDZAR,AUDZAR,Unknown,FOREX,NA,Currency,
BDTGBP,BDTGBP,Unknown,FOREX,NA,Currency,
BDTJPY,BDTJPY,Unknown,FOREX,NA,Currency,
BGNUSD,BGNUSD,Unknown,FOREX,NA,Currency,
BHDEUR,BHDEUR,Unknown,FOREX,NA,Currency,
BHDPKR,BHDPKR,Unknown,FOREX,NA,Currency,
BHDUSD,BHDUSD,Unknown,FOREX,NA,Currency,
BRL,"US Dollar/Brazilian Real FX Spot Rate",Unknown,FOREX,NA,Currency,
BRLARS,"Brazilian Real/Argentine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLAUD,BRLAUD,Unknown,FOREX,NA,Currency,
BRLCHF,BRLCHF,Unknown,FOREX,NA,Currency,
BRLEUR,"Brazilian Real/Euro FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLHKD,"Brazilian Real/Hong Kong Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLJPY,"Brazilian Real/Japanese Yen FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLKRW,BRLKRW,Unknown,FOREX,NA,Currency,
BRLMXN,"Brazilian Real/Mexican Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLRUB,"Brazilian Real/Russian Rouble FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLSEK,BRLSEK,Unknown,FOREX,NA,Currency,
BRLSGD,"Brazilian Real/Singapore Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLUSD,"Brazilian Real/US Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
BRLZAR,"Brazilian Real/South African Rand FX Cross Rate",Unknown,FOREX,NA,Currency,
BWPEUR,BWPEUR,Unknown,FOREX,NA,Currency,
BWPUSD,BWPUSD,Unknown,FOREX,NA,Currency,
BYNUSD,"Belarusian Ruble US Dollar",Unknown,FOREX,NA,Currency,
CAD,"US Dollar/Canadian Dollar FX Spot Rate",Unknown,FOREX,NA,Currency,
CADAED,"Canadian Dollar/UAE Dirham FX Cross Rate",Unknown,FOREX,NA,Currency,
CADARS,"Canadian Dollar/Argentine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
CADAUD,"Canadian Dollar/Australian Dollar FX Cross Rate",Unknown,FOREX,AUD,Currency,
CADBRL,"Canadian Dollar/Brazilian Real FX Cross Rate",Unknown,FOREX,NA,Currency,
CADCHF,"Canadian Dollar/Swiss Franc FX Cross Rate",Unknown,FOREX,CHF,Currency,
CADCNH,CADCNH,Unknown,FOREX,NA,Currency,
CADCNY,CADCNY,Unknown,FOREX,NA,Currency,
CADCZK,"Canadian Dollar Czech Koruna",Unknown,FOREX,NA,Currency,
CADDKK,"Canadian Dollar/Danish Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
CADEUR,"Canadian Dollar/Euro FX Cross Rate",Unknown,FOREX,EUR,Currency,
CADGBP,"Canadian Dollar/UK Pound Sterling FX Cross Rate",Unknown,FOREX,GBP,Currency,
CADHKD,"Canadian Dollar/Hong Kong Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CADIDR,"Canadian Dollar/Indonesian Rupiah FX Cross Rate",Unknown,FOREX,NA,Currency,
CADILS,"Canadian Dollar/Israeli Shekel FX Cross Rate",Unknown,FOREX,NA,Currency,
CADINR,"Canadian Dollar/Indian Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
CADISK,CADISK,Unknown,FOREX,NA,Currency,
CADJPY,"Canadian Dollar/Japanese Yen FX Cross Rate",Unknown,FOREX,JPY,Currency,
CADKRW,"Canadian Dollar/Korean Won FX Cross Rate",Unknown,FOREX,NA,Currency,
CADKWD,"Canadian Dollar/Kuwaiti Dinar FX Cross Rate",Unknown,FOREX,NA,Currency,
CADMXN,"Canadian Dollar/Mexican Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
CADMYR,"Canadian Dollar/Malaysian Ringgit FX Cross Rate",Unknown,FOREX,NA,Currency,
CADNOK,"Canadian Dollar/Norwegian Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
CADNZD,"Canadian Dollar/New Zealand Dollar FX Cross Rate",Unknown,FOREX,NZD,Currency,
CADPKR,"Canadian Dollar/Pakistani Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
CADPLN,"Canadian Dollar/Polish Zloty FX Cross Rate",Unknown,FOREX,NA,Currency,
CADRUB,"Canadian Dollar/Russian Rouble FX Cross Rate",Unknown,FOREX,NA,Currency,
CADSEK,"Canadian Dollar/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
CADSGD,"Canadian Dollar/Singapore Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CADTHB,"Canadian Dollar/Thai Baht FX Cross Rate",Unknown,FOREX,NA,Currency,
CADTRY,"Canadian Dollar/Turkish Lira FX Cross Rate",Unknown,FOREX,NA,Currency,
CADTWD,"Canadian Dollar/Taiwan Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CADUSD,CADUSD,Unknown,FOREX,NA,Currency,
CADZAR,"Canadian Dollar/South African Rand FX Cross Rate",Unknown,FOREX,NA,Currency,
CDFUSD,CDFUSD,Unknown,FOREX,NA,Currency,
CHF,"US Dollar/Swiss Franc FX Spot Rate",Unknown,FOREX,NA,Currency,
CHFAED,"Swiss Franc/UAE Dirham FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFARS,"Swiss Franc/Argentine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFAUD,"Swiss Franc/Australian Dollar FX Cross Rate",Unknown,FOREX,AUD,Currency,
CHFBRL,"Swiss Franc/Brazilian Real FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFBWP,CHFBWP,Unknown,FOREX,NA,Currency,
CHFCAD,"Swiss Franc/Canadian Dollar FX Cross Rate",Unknown,FOREX,CAD,Currency,
CHFCNY,"Swiss Franc/Chinese Renminbi FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFCZK,"Swiss Franc/Czech Koruna FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFDKK,"Swiss Franc/Danish Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFEUR,"Swiss Franc/Euro FX Cross Rate",Unknown,FOREX,EUR,Currency,
CHFGBP,"Swiss Franc/UK Pound Sterling FX Cross Rate",Unknown,FOREX,GBP,Currency,
CHFHKD,"Swiss Franc/Hong Kong Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFHUF,"Swiss Franc/Hungarian Forint FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFIDR,"Swiss Franc/Indonesian Rupiah FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFILS,CHFILS,Unknown,FOREX,NA,Currency,
CHFINR,"Swiss Franc/Indian Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFISK,CHFISK,Unknown,FOREX,NA,Currency,
CHFJPY,"Swiss Franc/Japanese Yen FX Cross Rate",Unknown,FOREX,JPY,Currency,
CHFKRW,"Swiss Franc/Korean Won FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFMXN,"Swiss Franc/Mexican Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFMYR,"Swiss Franc/Malaysian Ringgit FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFNOK,"Swiss Franc/Norwegian Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFNZD,"Swiss Franc/New Zealand Dollar FX Cross Rate",Unknown,FOREX,NZD,Currency,
CHFPKR,CHFPKR,Unknown,FOREX,NA,Currency,
CHFPLN,"Swiss Franc/Polish Zloty FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFRON,CHFRON,Unknown,FOREX,NA,Currency,
CHFRUB,"Swiss Franc/Russian Rouble FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFSEK,"Swiss Franc/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFSGD,"Swiss Franc/Singapore Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFSZL,CHFSZL,Unknown,FOREX,NA,Currency,
CHFTHB,"Swiss Franc/Thai Baht FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFTRY,"Swiss Franc/Turkish Lira FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFTWD,"Swiss Franc/Taiwan Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CHFUSD,CHFUSD,Unknown,FOREX,NA,Currency,
CHFUZS,CHFUZS,Unknown,FOREX,NA,Currency,
CHFZAR,"Swiss Franc/South African Rand FX Cross Rate",Unknown,FOREX,NA,Currency,
CLP,"US Dollar/Chilean Peso FX Spot Rate",Unknown,FOREX,NA,Currency,
CLPEUR,CLPEUR,Unknown,FOREX,NA,Currency,
CLPGBP,CLPGBP,Unknown,FOREX,NA,Currency,
CLPUSD,"Chilean Peso US Dollar",Unknown,FOREX,NA,Currency,
CNHCNY,"Chinese Yuan Offshore / Chinese Yuan",Unknown,FOREX,NA,Currency,
CNHHKD,CNHHKD,Unknown,FOREX,NA,Currency,
CNHIDR,CNHIDR,Unknown,FOREX,NA,Currency,
CNHINR,CNHINR,Unknown,FOREX,NA,Currency,
CNHJPY,CNHJPY,Unknown,FOREX,NA,Currency,
CNHKRW,CNHKRW,Unknown,FOREX,NA,Currency,
CNHPHP,CNHPHP,Unknown,FOREX,NA,Currency,
CNHTHB,CNHTHB,Unknown,FOREX,NA,Currency,
CNHTWD,CNHTWD,Unknown,FOREX,NA,Currency,
CNHUSD,"Chinese Yuan Offshore / US Dollar",Unknown,FOREX,NA,Currency,
CNY,"US Dollar/Chinese Renminbi FX Spot Rate",Unknown,FOREX,NA,Currency,
CNYAUD,"Chinese Renminbi/Australian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYCAD,CNYCAD,Unknown,FOREX,NA,Currency,
CNYCHF,"Chinese Renminbi/Swiss Franc FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYCNH,"Chinese Yuan / Chinese Yuan Offshore",Unknown,FOREX,NA,Currency,
CNYEUR,"Chinese Renminbi/Euro FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYGBP,"Chinese Renminbi/UK Pound Sterling FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYHKD,"Chinese Renminbi/Hong Kong Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYJPY,"Chinese Renminbi/Japanese Yen FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYNZD,"Chinese Renminbi/New Zealand Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYPLN,CNYPLN,Unknown,FOREX,NA,Currency,
CNYRUB,"Chinese Yuan Russian Ruble",Unknown,FOREX,NA,Currency,
CNYUSD,"Chinese Renminbi/US Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
CNYZAR,CNYZAR,Unknown,FOREX,NA,Currency,
COPUSD,"Colombian Peso US Dollar",Unknown,FOREX,NA,Currency,
CRCGBP,CRCGBP,Unknown,FOREX,NA,Currency,
CZK,"US Dollar/Czech Koruna FX Spot Rate",Unknown,FOREX,NA,Currency,
CZKCHF,CZKCHF,Unknown,FOREX,NA,Currency,
CZKDKK,"Czech Koruna/Danish Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
CZKEUR,"Czech Koruna/Euro FX Cross Rate",Unknown,FOREX,NA,Currency,
CZKJPY,"Czech Koruna/Japanese Yen FX Cross Rate",Unknown,FOREX,NA,Currency,
CZKPLN,"Czech Koruna/Polish Zloty FX Cross Rate",Unknown,FOREX,NA,Currency,
CZKSEK,"Czech Koruna/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
CZKUSD,"Czech Koruna/US Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
DJFGBP,DJFGBP,Unknown,FOREX,NA,Currency,
DKK,"US Dollar/Danish Krone FX Spot Rate",Unknown,FOREX,NA,Currency,
DKKAUD,"Danish Krone/Australian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKCAD,"Danish Krone/Canadian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKCHF,"Danish Krone/Swiss Franc FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKCZK,"Danish Krone/Czech Koruna FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKEUR,"Danish Krone/Euro FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKGBP,"Danish Krone/UK Pound Sterling FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKHKD,"Danish Krone/Hong Kong Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKHUF,DKKHUF,Unknown,FOREX,NA,Currency,
DKKINR,"Danish Krone/Indian Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKISK,DKKISK,Unknown,FOREX,NA,Currency,
DKKJPY,"Danish Krone/Japanese Yen FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKNOK,"Danish Krone/Norwegian Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKNZD,DKKNZD,Unknown,FOREX,NA,Currency,
DKKPKR,"Danish Krone/Pakistani Rupee FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKPLN,"Danish Krone/Polish Zloty FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKSEK,"Danish Krone/Swedish Krona FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKSGD,"Danish Krone/Singapore Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKTHB,"Danish Krone/Thai Baht FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKUSD,"Danish Krone/US Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
DKKZAR,DKKZAR,Unknown,FOREX,NA,Currency,
DOPGBP,DOPGBP,Unknown,FOREX,NA,Currency,
DZDUSD,DZDUSD,Unknown,FOREX,NA,Currency,
EGPEUR,EGPEUR,Unknown,FOREX,NA,Currency,
EGPJPY,EGPJPY,Unknown,FOREX,NA,Currency,
EGPPKR,EGPPKR,Unknown,FOREX,NA,Currency,
EGPUSD,EGPUSD,Unknown,FOREX,NA,Currency,
ETBGBP,ETBGBP,Unknown,FOREX,NA,Currency,
EUR,"US Dollar/Euro FX Cross Rate",Unknown,FOREX,NA,Currency,
EURAED,"Euro/UAE Dirham FX Cross Rate",Unknown,FOREX,NA,Currency,
EURAFN,EURAFN,Unknown,FOREX,NA,Currency,
EURALL,EURALL,Unknown,FOREX,NA,Currency,
EURAMD,EURAMD,Unknown,FOREX,NA,Currency,
EURARS,"Euro/Argentine Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
EURAUD,"Euro/Australian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURBAM,EURBAM,Unknown,FOREX,NA,Currency,
EURBBD,EURBBD,Unknown,FOREX,NA,Currency,
EURBDT,EURBDT,Unknown,FOREX,NA,Currency,
EURBGN,EURBGN,Unknown,FOREX,NA,Currency,
EURBHD,"Euro/Bahraini Dinar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURBIF,EURBIF,Unknown,FOREX,NA,Currency,
EURBND,"Euro/Brunei Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURBOB,EURBOB,Unknown,FOREX,NA,Currency,
EURBRL,"Euro/Brazilian Real FX Cross Rate",Unknown,FOREX,NA,Currency,
EURBSD,EURBSD,Unknown,FOREX,NA,Currency,
EURBWP,EURBWP,Unknown,FOREX,NA,Currency,
EURBZD,EURBZD,Unknown,FOREX,NA,Currency,
EURCAD,"Euro/Canadian Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
EURCHF,EURCHF,Unknown,FOREX,NA,Currency,
EURCLP,"Euro/Chilean Peso FX Cross Rate",Unknown,FOREX,NA,Currency,
EURCNH,EURCNH,Unknown,FOREX,NA,Currency,
EURCNY,"Euro/Chinese Renminbi FX Cross Rate",Unknown,FOREX,NA,Currency,
EURCOP,EURCOP,Unknown,FOREX,NA,Currency,
EURCRC,EURCRC,Unknown,FOREX,NA,Currency,
EURCUP,EURCUP,Unknown,FOREX,NA,Currency,
EURCVE,EURCVE,Unknown,FOREX,NA,Currency,
EURCZK,EURCZK,Unknown,FOREX,NA,Currency,
EURDJF,EURDJF,Unknown,FOREX,NA,Currency,
EURDKK,"Euro/Danish Krone FX Cross Rate",Unknown,FOREX,NA,Currency,
EURDOP,EURDOP,Unknown,FOREX,NA,Currency,
EURDZD,EURDZD,Unknown,FOREX,NA,Currency,
EUREGP,"Euro/Egyptian Pound FX Cross Rate",Unknown,FOREX,NA,Currency,
EURETB,EURETB,Unknown,FOREX,NA,Currency,
EUREUR,EUREUR,Unknown,FOREX,NA,Currency,
EURFJD,"Euro/Fiji Dollar FX Cross Rate",Unknown,FOREX,NA,Currency,
